date,bribery,insider trading,bankruptcy,isPartial
2017-05-07,2,2,67,False
2017-05-14,2,2,63,False
2017-05-21,1,2,63,False
2017-05-28,2,1,56,False
2017-06-04,2,2,60,False
2017-06-11,2,2,64,False
2017-06-18,2,2,61,False
2017-06-25,2,1,63,False
2017-07-02,2,1,56,False
2017-07-09,1,2,64,False
2017-07-16,2,2,60,False
2017-07-23,1,2,60,False
2017-07-30,2,2,57,False
2017-08-06,1,2,58,False
2017-08-13,1,2,55,False
2017-08-20,1,2,54,False
2017-08-27,2,2,53,False
2017-09-03,2,3,49,False
2017-09-10,2,3,56,False
2017-09-17,2,2,82,False
2017-09-24,8,3,63,False
2017-10-01,3,2,59,False
2017-10-08,2,2,56,False
2017-10-15,5,2,59,False
2017-10-22,3,2,57,False
2017-10-29,2,2,56,False
2017-11-05,3,2,53,False
2017-11-12,3,2,57,False
2017-11-19,2,2,42,False
2017-11-26,2,2,54,False
2017-12-03,2,2,56,False
2017-12-10,2,2,53,False
2017-12-17,3,4,45,False
2017-12-24,1,2,41,False
2017-12-31,1,2,50,False
2018-01-07,1,2,54,False
2018-01-14,2,2,51,False
2018-01-21,2,2,59,False
2018-01-28,2,2,58,False
2018-02-04,2,2,56,False
2018-02-11,2,2,57,False
2018-02-18,2,2,60,False
2018-02-25,3,2,60,False
2018-03-04,2,3,59,False
2018-03-11,2,2,67,False
2018-03-18,2,2,63,False
2018-03-25,2,2,71,False
2018-04-01,2,2,63,False
2018-04-08,2,2,59,False
2018-04-15,2,2,63,False
2018-04-22,2,2,55,False
2018-04-29,2,2,64,False
2018-05-06,2,2,56,False
2018-05-13,2,1,55,False
2018-05-20,1,1,55,False
2018-05-27,2,3,51,False
2018-06-03,2,2,53,False
2018-06-10,1,2,57,False
2018-06-17,1,2,55,False
2018-06-24,1,2,56,False
